id;libelle_article;stock;created_at;update_at
1;Buckinghamshire;Licensed;2022-01-11;2022-01-10
2;a;de backing;2022-01-10;2022-01-11
3;Borders maroon system;teal Pre-emptive PCI;2022-01-10;2022-01-11
4;b b;alliance Plastic;2022-01-10;2022-01-10
5;des transmitting c;Borders Mouse Intelligent;2022-01-11;2022-01-11
6;Philippine user-centric online;generating XSS copying;2022-01-10;2022-01-11
7;Account Personal;deposit;2022-01-11;2022-01-10
8;capacitor;payment Shoes Dinar;2022-01-11;2022-01-11
9;rich yellow;e-commerce c;2022-01-11;2022-01-11
10;Plastic;Berkshire Incredible invoice;2022-01-10;2022-01-11
