id;num_contrat;caracteristique;quantite_article;numero_serie;status;date_contrat;date_reception;created_at;update_at
1;HDD executive Pizza;Specialiste applications;90480;de Account one-to-one;85774;2022-01-10;2022-01-11;2022-01-10;2022-01-10
2;bandwidth Reactive;Account silver;48127;transmitting Cambridgeshire;41847;2022-01-10;2022-01-10;2022-01-10;2022-01-10
3;Fantastic;b Account;2380;core Bacon;50846;2022-01-10;2022-01-11;2022-01-10;2022-01-11
4;of Compatible Lari;withdrawal;64121;Borders open-source;80298;2022-01-11;2022-01-11;2022-01-11;2022-01-10
5;Unbranded TCP;override leverage Gloves;95509;brand Fresh compress;89001;2022-01-11;2022-01-10;2022-01-11;2022-01-11
6;Exclusive;Fresh;46673;capability deposit Ergonomic;24621;2022-01-11;2022-01-10;2022-01-11;2022-01-10
7;monitor c b;platforms parse;35982;Bourgogne;81660;2022-01-11;2022-01-11;2022-01-11;2022-01-11
8;Music;brand purple a;38113;multi-byte Libye Limousin;83459;2022-01-10;2022-01-11;2022-01-10;2022-01-10
9;RSS redundant;invoice Montorgueil;5502;generating Tilsitt;35799;2022-01-11;2022-01-11;2022-01-11;2022-01-11
10;a 24/7 Buckinghamshire;FTP;335;Incredible;39940;2022-01-11;2022-01-10;2022-01-10;2022-01-10
